_id,name,type,location,availability
67f7919066f75e2f9f6cf0c3,Smart Board 1,Class,CSE DEPARTMENT,true
67f7946a132e276d9fc668ad,Smart Board 1,class,CSE DEPARTMENT,true
67fc791e4c7109a0e8310101,KP-101,Classroom,KP,false
67fc791e4c7109a0e8310102,KP-102,Classroom,KP,true
67fc791e4c7109a0e8310103,KP-103,Classroom,KP,true
67fc791e4c7109a0e8310104,KP-104,Classroom,KP,true
67fc791e4c7109a0e8310105,KP-105,Classroom,KP,true
67fc791e4c7109a0e8310106,KP-106,Classroom,KP,true
67fc791e4c7109a0e8310107,KP-107,Classroom,KP,true
67fc791e4c7109a0e8310108,KP-108,Classroom,KP,true
67fc791e4c7109a0e8310109,KP-109,Classroom,KP,false
67fc791e4c7109a0e8310110,KP-110,Classroom,KP,true
67fc791e4c7109a0e8310201,KP-201,Classroom,KP,true
67fc791e4c7109a0e8310202,KP-202,Classroom,KP,true
67fc791e4c7109a0e8310203,KP-203,Classroom,KP,true
67fc791e4c7109a0e8310204,KP-204,Classroom,KP,true
67fc791e4c7109a0e8310205,KP-205,Classroom,KP,true
67fc791e4c7109a0e8310206,KP-206,Classroom,KP,true
67fc791e4c7109a0e8310207,KP-207,Classroom,KP,true
67fc791e4c7109a0e8310208,KP-208,Classroom,KP,true
67fc791e4c7109a0e8310209,KP-209,Classroom,KP,true
67fc791e4c7109a0e8310210,KP-210,Classroom,KP,true
67fc791e4c7109a0e8310301,KP-301,Classroom,KP,true
67fc791e4c7109a0e8310302,KP-302,Classroom,KP,true
67fc791e4c7109a0e8310303,KP-303,Classroom,KP,true
67fc791e4c7109a0e8310304,KP-304,Classroom,KP,true
67fc791e4c7109a0e8310305,KP-305,Classroom,KP,true
67fc791e4c7109a0e8310306,KP-306,Classroom,KP,true
67fc791e4c7109a0e8310307,KP-307,Classroom,KP,true
67fc791e4c7109a0e8310308,KP-308,Classroom,KP,true
67fc791e4c7109a0e8310309,KP-309,Classroom,KP,true
67fc791e4c7109a0e8310310,KP-310,Classroom,KP,true
67fc791e4c7109a0e8310401,KP-401,Classroom,KP,true
67fc791e4c7109a0e8310402,KP-402,Classroom,KP,true
67fc791e4c7109a0e8310403,KP-403,Classroom,KP,true
67fc791e4c7109a0e8310404,KP-404,Classroom,KP,true
67fc791e4c7109a0e8310405,KP-405,Classroom,KP,true
67fc791e4c7109a0e8310406,KP-406,Classroom,KP,true
67fc791e4c7109a0e8310407,KP-407,Classroom,KP,true
67fc791e4c7109a0e8310408,KP-408,Classroom,KP,true
67fc791e4c7109a0e8310409,KP-409,Classroom,KP,true
67fc791e4c7109a0e8310410,KP-410,Classroom,KP,true
67fc9f91930fa3f0fdc87a88,KP-111,Classroom,KP,true
